loss,params,iteration,train_time
6.51581545094564,"{'bagging_temperature': 74.80003003730891, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.05705741290045388, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 29.697508709386213, 'task_type': 'GPU'}",54,2.561758736769358
6.515862926311199,"{'bagging_temperature': 46.025075368559904, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.16694622980907325, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 9.634144614032571, 'task_type': 'GPU'}",55,2.5715564926465353
6.129752225481024,"{'bagging_temperature': 20.868975001317867, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.0882528750625091, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 18.748567898122317, 'task_type': 'GPU'}",56,16.306507269541424
6.075349266300462,"{'bagging_temperature': 0.1096580921165895, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.06969311526637732, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 49.691092660989014, 'task_type': 'GPU'}",57,15.176462205251058
6.5158021168151885,"{'bagging_temperature': 54.40146119011051, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.03429459443229825, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 23.530349041122367, 'task_type': 'GPU'}",58,2.577868926525116
6.105024666676045,"{'bagging_temperature': 3.54891153121683, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1076617385403446, 'loss_function': 'MAE', 'max_depth': 3.0, 'random_seed': 42, 'random_strength': 54.73084673673258, 'task_type': 'GPU'}",59,9.427777194976807
6.515864171806901,"{'bagging_temperature': 79.33190370450166, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1318018287205879, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 36.852339176675315, 'task_type': 'GPU'}",60,2.5672987699508667
7.513375451602089,"{'bagging_temperature': 9.797831489518543, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.006757312194008504, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 42.89988624535244, 'task_type': 'GPU'}",61,14.726191759109497
6.103760928125812,"{'bagging_temperature': 33.959085781071764, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.19873830463027284, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 30.776016851311624, 'task_type': 'GPU'}",62,14.753434216976165
6.815390062878484,"{'bagging_temperature': 40.040364858146255, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.014147397355171724, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 14.124046996347374, 'task_type': 'GPU'}",63,2.5669238607088727
6.106189864536957,"{'bagging_temperature': 29.623870584881384, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.15579128778224882, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 92.70290593416557, 'task_type': 'GPU'}",64,16.055567224820454
6.515816916234699,"{'bagging_temperature': 65.51072623507754, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.05386786716008155, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 62.024752112933456, 'task_type': 'GPU'}",65,2.5730640411376955
6.142395618668486,"{'bagging_temperature': 14.434617292805585, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.12437668389083122, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 37.42257787699043, 'task_type': 'GPU'}",66,11.181485482056935
6.0802872904343594,"{'bagging_temperature': 0.6913300342205008, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.09108845178060299, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 34.12395791128089, 'task_type': 'GPU'}",67,12.319164248307546
6.124641883353612,"{'bagging_temperature': 7.513356538911621, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.12963455423492964, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 34.72145665355937, 'task_type': 'GPU'}",68,11.207012116909027
6.087479075672217,"{'bagging_temperature': 0.01822943084857256, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.07951752013364048, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 21.308439159009435, 'task_type': 'GPU'}",69,12.354256745179494
6.215650767108129,"{'bagging_temperature': 20.41982138250018, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.06256800316338133, 'loss_function': 'MAE', 'max_depth': 3.0, 'random_seed': 42, 'random_strength': 26.93429744196155, 'task_type': 'GPU'}",70,9.27744498650233
6.119471024788002,"{'bagging_temperature': 25.763295613839333, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.18233965435588342, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 42.438652777940916, 'task_type': 'GPU'}",71,12.581921132405599
6.07849516864891,"{'bagging_temperature': 3.437112692379316, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.14818266302470987, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 46.02185765599394, 'task_type': 'GPU'}",72,14.44456600745519
6.182466951870529,"{'bagging_temperature': 17.5868997634795, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.04930277223705033, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 53.210106097441006, 'task_type': 'GPU'}",73,13.775731194019318
6.121219700752807,"{'bagging_temperature': 11.1122556004307, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.16730431976951857, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 48.65410054123159, 'task_type': 'GPU'}",74,12.587559044361115
6.123606656632367,"{'bagging_temperature': 5.825687677001747, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.09485520778400974, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 9.610428206092607, 'task_type': 'GPU'}",75,11.260440921783447
6.189649432522852,"{'bagging_temperature': 22.826998027080887, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1224395174682441, 'loss_function': 'MAE', 'max_depth': 2.0, 'random_seed': 42, 'random_strength': 16.719471525989068, 'task_type': 'GPU'}",76,2.7803558111190796
6.13614835875903,"{'bagging_temperature': 12.41863998889087, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1410934404842819, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 24.92310641218312, 'task_type': 'GPU'}",77,11.186602811018625
6.074826817485938,"{'bagging_temperature': 0.44511006617800786, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.19985340259223094, 'loss_function': 'MAE', 'max_depth': 3.0, 'random_seed': 42, 'random_strength': 71.4948817404542, 'task_type': 'GPU'}",78,9.236152227719625
6.1206908046664195,"{'bagging_temperature': 9.131710148841012, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.10473239533573823, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 75.51693701393393, 'task_type': 'GPU'}",79,15.246652539571127
6.153934989813312,"{'bagging_temperature': 26.51024950676559, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.06981320108498394, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 31.93923903363153, 'task_type': 'GPU'}",80,13.537447921435039
6.5158059265667445,"{'bagging_temperature': 98.46936682774316, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.03963400422141171, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 3.7920742953613455, 'task_type': 'GPU'}",81,2.5635144829750063
6.554131587646558,"{'bagging_temperature': 86.02933919809607, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.02911658362254008, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 0.4270443413391405, 'task_type': 'GPU'}",82,2.5633996725082397
6.429516812140565,"{'bagging_temperature': 15.685340269432542, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.021415423628838713, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 60.34189987164817, 'task_type': 'GPU'}",83,11.040511739253997
6.105882593420969,"{'bagging_temperature': 4.356168433126646, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.08020636848686678, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 56.0208241675809, 'task_type': 'GPU'}",84,13.965044339497885
